id,category,rating
65987,1,10
65808,1,10
65663,1,10
65193,1,10
210,1,8
66101,1,10
371,1,8
33199,2,3
98717,1,11
32966,2,2
535,1,10
32965,2,3
66079,1,9
65719,1,10
33284,2,2
33310,2,3
302,1,10
98722,1,9
65913,1,10
313,1,11
65988,1,10
65769,1,10
65768,1,10
65758,1,8
32774,2,3
33027,2,5
65776,1,10
32795,2,3
33127,2,3
65563,1,11
33148,2,4
33061,2,5
65860,1,10
58620,1,8
58622,1,10
65639,1,8
98400,2,4
65653,1,10
496,1,10
131552,1,8
451,1,8
25,1,8
65538,1,8
65928,1,8
66020,1,8
66028,1,8
66057,1,8
32901,2,1
340,1,8
273,1,8
196880,7,34
197049,3,13
98663,3,13
196712,7,37
196710,3,16
196711,4,22
196714,2,3
427,1,8
23,1,8
339,1,8
476,1,8
499,1,8
334,1,8
342,1,8
65570,1,8
65620,1,8
65754,1,8
65841,1,8
65846,1,8
65905,1,8
66006,1,8
66002,1,8
66072,1,8
66089,2,2
66080,1,8
66099,1,8
32769,1,8
32770,2,1
14333,2,4
71641,1,8
33261,2,1
196737,3,13
196739,3,13
196779,2,1
196780,4,18
196786,3,13
196877,7,34
196875,2,1
196879,3,14
196876,4,19
196873,5,23
196878,5,23
196920,4,19
196918,7,34
196969,6,28
197050,3,13
98332,3,13
98452,2,1
98404,7,36
98451,7,34
98401,4,21
98453,4,18
98454,7,34
98445,3,14
98397,4,22
98399,7,37
98446,4,20
98450,4,18
98472,3,16
98464,6,33
98465,7,37
98463,7,37
98462,4,22
98503,3,13
98510,3,13
98543,3,13
98427,7,37
98426,2,5
98618,3,13
98677,3,13
98678,3,13
98659,3,13
98661,3,13
98654,3,13
98657,3,13
98690,3,13
98555,3,15
98726,3,13
98730,3,13
98728,3,13
98727,3,13
98729,3,13
98773,3,13
98790,3,13
98788,3,13
98870,3,13
98863,3,13
98867,3,13
98782,1,9
98784,3,13
98783,2,3
197003,7,34
197002,5,23
197001,4,19
131542,1,8
131546,1,8
131548,1,8
131461,6,30
131460,6,30
131457,6,30
131443,6,30
131601,1,8
131419,6,30
131602,1,8
131405,6,30
131595,1,8
131594,1,8
164024,4,22
164033,3,13
164277,3,14
168042,3,13
81,1,10
89,1,10
103,1,11
67,1,8
3,1,11
10,1,10
65,1,10
258,1,11
211,1,9
214,1,8
227,1,11
190,1,8
144,1,8
218,1,10
202,1,8
126,1,9
239,1,8
192,1,8
235,1,10
129,1,8
267,1,10
215,1,8
189,1,8
193,1,8
216,1,10
213,1,10
130,1,9
194,1,8
264,1,10
219,1,10
217,1,8
155,1,10
127,1,10
195,1,8
271,1,10
297,1,11
284,1,10
322,1,10
384,1,8
398,1,10
285,1,11
363,1,10
422,1,10
347,1,11
283,1,10
282,1,10
439,1,8
324,1,10
372,1,11
348,1,11
314,1,10
310,1,10
344,1,11
456,1,8
505,1,8
487,1,8
477,1,11
520,1,10
460,1,11
463,1,8
469,1,10
513,1,8
532,1,9
530,1,10
503,1,10
485,1,8
525,1,10
489,1,10
470,1,8
506,1,9
493,1,11
497,1,8
504,1,8
511,1,8
531,1,10
528,1,10
473,1,8
507,1,8
508,1,8
562,1,9
536,1,10
561,1,10
539,1,9
541,1,11
32654,2,3
32655,2,3
32789,2,4
32818,2,5
32816,2,4
32829,2,4
32932,2,5
32931,2,4
32954,2,5
32948,2,4
32924,2,5
32945,2,4
32927,2,1
32950,2,4
32977,2,3
32959,2,5
32981,2,3
33010,2,5
32999,2,3
33013,2,3
33017,2,5
33002,2,3
33000,2,1
33014,2,4
33042,2,4
33057,2,5
33053,2,4
33040,2,2
33056,2,3
33081,2,4
33066,2,3
33090,2,4
33074,2,3
33064,2,2
33070,2,2
33071,2,4
33113,2,3
33103,2,3
33114,2,2
33101,2,3
33095,2,3
33100,2,3
33129,2,4
33130,2,4
33143,2,3
33135,2,2
33133,2,4
33128,2,5
33190,2,3
33189,2,3
33160,2,3
33175,2,2
33192,2,3
33162,2,3
33321,2,4
33229,2,2
33320,1,11
58677,1,8
65542,1,8
65547,1,10
65536,1,10
65543,1,11
65552,1,10
65549,1,10
65555,1,10
65561,1,8
65541,1,8
65550,1,10
65546,1,8
65548,1,10
65551,1,8
65589,1,10
65588,1,10
65582,1,10
65637,1,10
65615,1,10
65593,1,10
65617,1,10
65632,1,9
65610,1,8
65592,1,8
65631,1,8
65604,1,8
65598,1,10
65576,1,8
65581,1,8
65580,1,10
65623,1,8
65577,1,8
65633,1,8
65590,1,10
65597,1,8
65578,1,11
65596,1,8
65568,1,11
65662,1,10
65666,1,10
65684,1,11
65656,1,8
65682,1,10
65651,1,10
65645,1,10
65696,1,8
65673,1,10
65679,1,8
65699,1,10
65697,1,8
65660,1,10
65676,1,10
65683,1,10
65668,1,8
65730,1,8
65753,1,10
65745,1,10
65717,1,8
65713,1,10
65743,1,10
65711,1,8
65715,1,11
65701,1,10
65707,1,10
65708,1,8
65737,1,8
65709,1,8
65740,1,10
65733,1,11
65729,1,10
65716,1,8
65757,1,8
65703,1,8
65718,1,10
65761,1,8
65763,1,10
65764,1,8
65774,1,11
65773,1,8
65771,1,10
65788,1,8
65790,1,8
65791,1,10
65792,1,8
65793,1,10
65794,1,10
65795,1,11
65796,1,10
65799,1,8
65807,1,10
65815,1,11
65886,1,8
65889,1,10
65818,1,10
